From,To ,Capacity,CU (%)
3818552,2798930,3,0.113895216
2801112,2273179,3,0.113895216
3634142,2817739,3,0.113895216
3500390,2273179,3,0.113895216
2803723,2273179,3,0.113895216
3353432,2803993,3,0.113895216
2804693,2273179,6,0.227790433
2799007,2273179,3,0.113895216
2801064,2801167,3,0.113895216
2803628,2803823,3,0.113895216
2804855,2273179,3,0.113895216
2798981,2273179,3,0.113895216
2799277,2803897,3,0.113895216
2801694,2801167,3,0.113895216
2801543,2273179,3,0.113895216
2799034,2273179,3,0.113895216
2801718,2798930,3,0.113895216
2804240,2803993,3,0.113895216
2799404,2803645,3,0.113895216
2799173,2273179,3,0.113895216
2803520,2805310,3,0.113895216
2801127,2273179,3,0.113895216
2805044,2273179,3,0.113895216
2801186,2273179,3,0.113895216
2803528,2273179,3,0.113895216
2803645,2799197,6,0.227790433
2803925,2801077,3,0.113895216
2803798,2273179,3,0.113895216
2799003,2801167,3,0.113895216
2805310,2273179,9,0.341685649
2805280,2801167,3,0.113895216
3564679,2273179,3,0.113895216
2803393,2273179,3,0.113895216
2803885,2273179,3,0.113895216
2804135,2801167,3,0.113895216
2799268,2803993,3,0.113895216
2805251,2273179,3,0.113895216
3719425,2801167,3,0.113895216
2909023,2798930,3,0.113895216
2804660,2799197,3,0.113895216
2799138,2803993,3,0.113895216
2817739,2273179,6,0.227790433
2801570,2273179,3,0.113895216
2798961,2273179,12,0.455580866
2803888,2798930,3,0.113895216
2804899,2273179,3,0.113895216
2798864,2273179,3,0.113895216
2799012,2798930,3,0.113895216
2804076,2273179,3,0.113895216
2801439,2798881,3,0.113895216
2804000,2799197,3,0.113895216
2803993,2273179,21,0.797266515
2803697,2801167,3,0.113895216
2805305,2273179,3,0.113895216
3792059,2801167,3,0.113895216
2799039,2798930,3,0.113895216
2801036,2273179,3,0.113895216
2799015,2804693,3,0.113895216
2801440,2804683,3,0.113895216
2803864,2805310,3,0.113895216
2803823,2273179,9,0.341685649
2799112,2803823,3,0.113895216
2804655,2801167,3,0.113895216
2807796,2798961,3,0.113895216
2821214,2273179,3,0.113895216
2803782,2801167,3,0.113895216
2805242,2798930,3,0.113895216
2804220,2798930,3,0.113895216
2798865,2273179,3,0.113895216
2799263,2798930,3,0.113895216
2803799,2801167,3,0.113895216
2804188,2799197,6,0.227790433
2803726,2801167,3,0.113895216
2800906,2798930,3,0.113895216
2801077,2273179,6,0.227790433
2805017,2801167,3,0.113895216
2804272,2803993,3,0.113895216
2803484,2273179,3,0.113895216
2804030,2804188,3,0.113895216
2803464,2801167,3,0.113895216
