From,To ,Capacity,CU (%)
2814303,2819746,2,0.075930144
2813989,159860,3,0.113895216
3098308,159860,3,0.113895216
2804185,3264332,2,0.075930144
2804057,159860,5,0.189825361
3127031,3098305,3,0.113895216
2814649,159860,2,0.075930144
2814919,159860,2,0.075930144
3105617,3098305,3,0.113895216
2814351,159860,3,0.113895216
3103558,3098305,5,0.189825361
3122921,3098305,2,0.075930144
3098305,159860,31,1.176917236
3128736,3122937,3,0.113895216
2811860,2819703,2,0.075930144
2819703,159860,4,0.151860289
2811615,159860,3,0.113895216
2814012,159860,3,0.113895216
2801215,2799135,2,0.075930144
2804061,159860,3,0.113895216
2810090,159860,3,0.113895216
3430949,159860,2,0.075930144
2821390,2819746,2,0.075930144
2805245,2804057,2,0.075930144
2811728,159860,3,0.113895216
3126672,3098305,3,0.113895216
2804114,159860,2,0.075930144
3122937,3098305,8,0.303720577
2819746,159860,6,0.227790433
2806361,159860,2,0.075930144
2821152,159860,3,0.113895216
2811580,3098305,2,0.075930144
2811724,159860,3,0.113895216
3066089,3103558,2,0.075930144
2803779,159860,3,0.113895216
2793484,3098305,2,0.075930144
2814269,159860,2,0.075930144
3264332,159860,5,0.189825361
3791337,3122937,3,0.113895216
2821295,159860,3,0.113895216
2811493,159860,2,0.075930144
2799135,159860,5,0.189825361
2828294,159860,3,0.113895216
2829448,159860,2,0.075930144
2811825,1635271,5,0.189825361
3229749,2795572,6,0.227790433
3075858,3122932,3,0.113895216
2785358,1635271,5,0.189825361
3128739,2813946,3,0.113895216
3131622,2813946,3,0.113895216
3710915,3092140,2,0.075930144
2813918,2784131,2,0.075930144
3096329,2814249,3,0.113895216
2945325,2784124,3,0.113895216
3107905,1635271,3,0.113895216
3157244,2785372,2,0.075930144
3092136,1635271,3,0.113895216
2811817,2785372,3,0.113895216
3122936,2785372,2,0.075930144
2903625,2811822,2,0.075930144
2814149,2784131,3,0.113895216
2813912,2811415,3,0.113895216
2814066,1635271,2,0.075930144
3381944,3092022,3,0.113895216
3064716,2814148,3,0.113895216
3074553,2785406,19,0.721336371
3511398,1635271,5,0.189825361
2811472,2811435,2,0.075930144
3103848,2785406,6,0.227790433
3074589,2783453,3,0.113895216
2811417,1635271,21,0.797266515
2785394,2811683,2,0.075930144
3098602,1635271,2,0.075930144
3128751,2811417,2,0.075930144
2811784,1635271,3,0.113895216
2811783,2811822,2,0.075930144
2813924,1635271,5,0.189825361
3092078,1635271,24,0.911161731
2811513,2785372,6,0.227790433
2814148,3092662,8,0.303720577
3105614,1635271,5,0.189825361
3092100,3145729,3,0.113895216
3075823,2785406,6,0.227790433
3711081,2811635,3,0.113895216
3092108,1635271,2,0.075930144
2814133,1635271,3,0.113895216
2814161,1635271,3,0.113895216
2811680,3092107,2,0.075930144
3642267,2811635,2,0.075930144
2877618,3098822,5,0.189825361
3108095,1635271,2,0.075930144
3092639,1635271,3,0.113895216
3092122,1635271,3,0.113895216
3126653,2783453,3,0.113895216
3642338,2811635,3,0.113895216
2811859,1635271,3,0.113895216
3098822,1635271,8,0.303720577
2814128,2811777,7,0.265755505
2814287,3108670,2,0.075930144
3098819,1635271,3,0.113895216
2814378,1635271,15,0.569476082
3642270,2811635,3,0.113895216
3092644,1635271,3,0.113895216
2797405,2793615,3,0.113895216
2827748,2784116,2,0.075930144
2814327,1635271,2,0.075930144
3092133,3103848,3,0.113895216
2811785,2811822,3,0.113895216
3098821,1635271,2,0.075930144
3073673,2785406,2,0.075930144
3102265,1635271,18,0.683371298
3145729,2814378,8,0.303720577
3124702,2783453,3,0.113895216
2785408,2785372,3,0.113895216
2814038,2813940,3,0.113895216
3131626,2813946,3,0.113895216
2814332,2785405,3,0.113895216
2813940,2813920,8,0.303720577
3122925,3734444,3,0.113895216
3129159,2811417,3,0.113895216
3074590,2785406,3,0.113895216
3092629,1635271,2,0.075930144
2783444,2854009,2,0.075930144
2793753,1635271,8,0.303720577
2793615,1635271,6,0.227790433
2814292,3092120,2,0.075930144
2811716,1635271,3,0.113895216
2811635,2785405,20,0.759301443
3642309,2813915,2,0.075930144
3096699,1635271,3,0.113895216
3642302,2811635,3,0.113895216
3642337,2814224,3,0.113895216
2814408,2784116,5,0.189825361
3064711,3074553,3,0.113895216
